,item_id,name_real,name,critical_short,bio,bio_spr,critical,critical_world,X,asterisk,pro,verb_match,adj,np,spillover,spill1,spill2,period,post_verb,critical_full,name_original,name_lenth,gender,lifetime,lifetime_distractor,type,tense,mm,list,match,bare,Unique_ID,prac_correct,prac_incorrect
1,2,Richard Nixon,Glenn Lockhart,He*has appeared*in prominent*political debates.,Glenn Lockhart was an American politician. He died in New York.,Glenn Lockhart*was*an American*politician.*He*died*in New York.,"He*has appeared*in prominent*political debates,*according to*Wikipedia.","Richard Nixon*has appeared*in prominent*political debates,*according to*Wikipedia.",His election received international attention.,4,He,has appeared,in prominent,political debates,in his lifetime,according to,Wikipedia,0,in prominent political debates in his lifetime.,He has appeared in prominent political debates in his lifetime.,Richard Nixon,13,male,dead,alive,critical,PP,deadPP,1,no,appear,12111,crit,crit
2,2,Richard Nixon,Glenn Lockhart,He*appeared*in prominent*political debates.,Glenn Lockhart was an American politician. He died in New York.,Glenn Lockhart*was*an American*politician.*He*died*in New York.,"He*appeared*in prominent*political debates,*according to*Wikipedia.","Richard Nixon*appeared*in prominent*political debates,*according to*Wikipedia.",His election received international attention.,4,He,appeared,in prominent,political debates,in his lifetime,according to,Wikipedia,0,in prominent political debates in his lifetime.,He appeared in prominent political debates in his lifetime.,Richard Nixon,13,male,dead,alive,critical,PS,deadPS,2,no,appear,12122,crit,crit
3,2,Justin Trudeau,Glenn Lockhart,He*has appeared*in prominent*political debates.,Glenn Lockhart is a Canadian politician. He lives in Ottawa.,Glenn Lockhart*is*a Canadian*politician.*He*lives*in Ottawa.,"He*has appeared*in prominent*political debates,*according to*Wikipedia.","Justin Trudeau*has appeared*in prominent*political debates,*according to*Wikipedia.",His election received international attention.,4,He,has appeared,in prominent,political debates,in his lifetime,according to,Wikipedia,0,in prominent political debates in his lifetime.,He has appeared in prominent political debates in his lifetime.,Justin Trudeau,14,male,alive,dead,critical,PP,livingPP,3,yes,appear,12013,crit,crit
4,2,Justin Trudeau,Glenn Lockhart,He*appeared*in prominent*political debates.,Glenn Lockhart is a Canadian politician. He lives in Ottawa.,Glenn Lockhart*is*a Canadian*politician.*He*lives*in Ottawa.,"He*appeared*in prominent*political debates,*according to*Wikipedia.","Justin Trudeau*appeared*in prominent*political debates,*according to*Wikipedia.",His election received international attention.,4,He,appeared,in prominent,political debates,in his lifetime,according to,Wikipedia,0,in prominent political debates in his lifetime.,He appeared in prominent political debates in his lifetime.,Justin Trudeau,14,male,alive,dead,critical,PS,livingPS,4,yes,appear,12024,crit,crit
5,3,Whitney Houston,Sophie Laverty,She*has appeared*in popular*music videos.,Sophie Laverty was an American singer. She died in Beverly Hills.,Sophie Laverty*was*an American*singer.*She*died*in Beverly Hills.,"She*has appeared*in popular*music videos,*as stated in*her memoir.","Whitney Houston*has appeared*in popular*music videos,*as stated in*her memoir.",Her first album was a critical success.,4,She,has appeared,in popular,music videos,in her career,as stated in,her memoir,0,in popular music videos in her career.,She has appeared in popular music videos in her career.,Whitney Houston,15,female,dead,alive,critical,PP,deadPP,2,no,appear,13114,crit,crit
6,3,Whitney Houston,Sophie Laverty,She*appeared*in popular*music videos.,Sophie Laverty was an American singer. She died in Beverly Hills.,Sophie Laverty*was*an American*singer.*She*died*in Beverly Hills.,"She*appeared*in popular*music videos,*as stated in*her memoir.","Whitney Houston*appeared*in popular*music videos,*as stated in*her memoir.",Her first album was a critical success.,4,She,appeared,in popular,music videos,in her career,as stated in,her memoir,0,in popular music videos in her career.,She appeared in popular music videos in her career.,Whitney Houston,15,female,dead,alive,critical,PS,deadPS,3,no,appear,13123,crit,crit
7,3,Shakira,Sophie Laverty,She*appeared*in popular*music videos.,Sophie Laverty is a Colombian singer. She lives in Barcelona.,Sophie Laverty*is*a Colombian*singer.*She*lives*in Barcelona.,"She*appeared*in popular*music videos,*as stated in*her memoir.","Shakira*appeared*in popular*music videos,*as stated in*her memoir.",Her first album was a critical success.,4,She,appeared,in popular,music videos,in her career,as stated in,her memoir,0,in popular music videos in her career.,She appeared in popular music videos in her career.,Shakira,7,female,alive,dead,critical,PS,livingPS,1,yes,appear,13021,crit,crit
8,3,Shakira,Sophie Laverty,She*has appeared*in popular*music videos.,Sophie Laverty is a Colombian singer. She lives in Barcelona.,Sophie Laverty*is*a Colombian*singer.*She*lives*in Barcelona.,"She*has appeared*in popular*music videos,*as stated in*her memoir.","Shakira*has appeared*in popular*music videos,*as stated in*her memoir.",Her first album was a critical success.,4,She,has appeared,in popular,music videos,in her career,as stated in,her memoir,0,in popular music videos in her career.,She has appeared in popular music videos in her career.,Shakira,7,female,alive,dead,critical,PP,livingPP,4,yes,appear,13012,crit,crit
9,10,Jimi Hendrix,Jim Jimmy,He*has performed*in numerous*music festivals.,Jim Jimmy was an American musician. He died in London.,Jim Jimmy*was*an American*musician.*He*died*in London.,"He*has performed*in numerous*music festivals,*as reported by*his biographer.","Jimi Hendrix*has performed*in numerous*music festivals,*as reported by*his biographer.",His musical talents began at an early age.,4,He,has performed,in numerous,music festivals,through the years,as reported by,his biographer,0,in numerous music festivals through the years.,He has performed in numerous music festivals through the years.,Jimi Hendrix,12,male,dead,alive,critical,PP,deadPP,3,no,perform,110111,crit,crit
10,10,Jimi Hendrix,Jim Jimmy,He*performed*in numerous*music festivals.,Jim Jimmy was an American musician. He died in London.,Jim Jimmy*was*an American*musician.*He*died*in London.,"He*performed*in numerous*music festivals,*as reported by*his biographer.","Jimi Hendrix*performed*in numerous*music festivals,*as reported by*his biographer.",His musical talents began at an early age.,4,He,performed,in numerous,music festivals,through the years,as reported by,his biographer,0,in numerous music festivals through the years.,He performed in numerous music festivals through the years.,Jimi Hendrix,12,male,dead,alive,critical,PS,deadPS,4,no,perform,110122,crit,crit
11,10,Elton John,Jim Jimmy,He*has performed*in numerous*music festivals.,Jim Jimmy is an English musician. He lives in Windsor.,Jim Jimmy*is*an English*musician.*He*lives*in Windsor.,"He*has performed*in numerous*music festivals,*as reported by*his biographer.","Elton John*has performed*in numerous*music festivals,*as reported by*his biographer.",His musical talents began at an early age.,4,He,has performed,in numerous,music festivals,through the years,as reported by,his biographer,0,in numerous music festivals through the years.,He has performed in numerous music festivals through the years.,Elton John,10,male,alive,dead,critical,PP,livingPP,1,yes,perform,110013,crit,crit
12,10,Elton John,Jim Jimmy,He*performed*in numerous*music festivals.,Jim Jimmy is an English musician. He lives in Windsor.,Jim Jimmy*is*an English*musician.*He*lives*in Windsor.,"He*performed*in numerous*music festivals,*as reported by*his biographer.","Elton John*performed*in numerous*music festivals,*as reported by*his biographer.",His musical talents began at an early age.,4,He,performed,in numerous,music festivals,through the years,as reported by,his biographer,0,in numerous music festivals through the years.,He performed in numerous music festivals through the years.,Elton John,10,male,alive,dead,critical,PS,livingPS,2,yes,perform,110024,crit,crit
13,13,Amy Winehouse,Kim McDermid,She*performed*in prestigious*arenas.,Kim McDermid was a British singer. She died in London.,Kim McDermid*was*a British*singer.*She*died*in London.,"She*performed*in prestigious*arenas,*so her*website states.","Amy Winehouse*performed*in prestigious*arenas,*so her*website states.",Her songs are recognised around the world.,4,She,performed,in prestigious,arenas,over time,so her,website states,0,in prestigious arenas over time.,She performed in prestigious arenas over time.,Amy Winehouse,13,female,dead,alive,critical,PS,deadPS,1,no,perform,113124,crit,crit
14,13,Amy Winehouse,Kim McDermid,She*has performed*in prestigious*arenas.,Kim McDermid was a British singer. She died in London.,Kim McDermid*was*a British*singer.*She*died*in London.,"She*has performed*in prestigious*arenas,*so her*website states.","Amy Winehouse*has performed*in prestigious*arenas,*so her*website states.",Her songs are recognised around the world.,4,She,has performed,in prestigious,arenas,over time,so her,website states,0,in prestigious arenas over time.,She has performed in prestigious arenas over time.,Amy Winehouse,13,female,dead,alive,critical,PP,deadPP,4,no,perform,113113,crit,crit
15,13,Beyoncé,Kim McDermid,She*has performed*in prestigious*arenas.,Kim McDermid is an American singer. She lives in Los Angeles.,Kim McDermid*is*an American*singer.*She*lives*in Los Angeles.,"She*has performed*in prestigious*arenas,*so her*website states.","Beyoncé*has performed*in prestigious*arenas,*so her*website states.",Her songs are recognised around the world.,4,She,has performed,in prestigious,arenas,over time,so her,website states,0,in prestigious arenas over time.,She has performed in prestigious arenas over time.,Beyoncé,7,female,alive,dead,critical,PP,livingPP,2,yes,perform,113011,crit,crit
16,13,Beyoncé,Kim McDermid,She*performed*in prestigious*arenas.,Kim McDermid is an American singer. She lives in Los Angeles.,Kim McDermid*is*an American*singer.*She*lives*in Los Angeles.,"She*performed*in prestigious*arenas,*so her*website states.","Beyoncé*performed*in prestigious*arenas,*so her*website states.",Her songs are recognised around the world.,4,She,performed,in prestigious,arenas,over time,so her,website states,0,in prestigious arenas over time.,She performed in prestigious arenas over time.,Beyoncé,7,female,alive,dead,critical,PS,livingPS,3,yes,perform,113022,crit,crit
17,22,David Bowie,Mack McKay,He*has played*numerous*concerts.,Mack McKay was a British singer. He died in New York.,Mack McKay*was*a British*singer.*He*died*in New York.,"He*has played*numerous*concerts,*according to*his memoir.","David Bowie*has played*numerous*concerts,*according to*his memoir.",His early years were infamously ,4,He,has played,numerous,concerts,in his lifetime,according to,his memoir,0,numerous concerts in his lifetime.,He has played numerous concerts in his lifetime.,David Bowie,11,male,dead,alive,critical,PP,deadPP,1,no,play,122111,crit,crit
18,22,David Bowie,Mack McKay,He*played*numerous*concerts.,Mack McKay was a British singer. He died in New York.,Mack McKay*was*a British*singer.*He*died*in New York.,"He*played*numerous*concerts,*according to*his memoir.","David Bowie*played*numerous*concerts,*according to*his memoir.",His early stage performances were legendary.,4,He,played,numerous,concerts,in his lifetime,according to,his memoir,0,numerous concerts in his lifetime.,He played numerous concerts in his lifetime.,David Bowie,11,male,dead,alive,critical,PS,deadPS,2,no,play,122122,crit,crit
19,22,Mick Jagger,Mack McKay,He*has played*numerous*concerts.,Mack McKay is a British singer. He lives in London.,Mack McKay*is*a British*singer.*He*lives*in London.,"He*has played*numerous*concerts,*according to*his memoir.","Mick Jagger*has played*numerous*concerts,*according to*his memoir.",His early stage performances were legendary.,4,He,has played,numerous,concerts,in his lifetime,according to,his memoir,0,numerous concerts in his lifetime.,He has played numerous concerts in his lifetime.,Mick Jagger,11,male,alive,dead,critical,PP,livingPP,3,yes,play,122013,crit,crit
20,22,Mick Jagger,Mack McKay,He*played*numerous*concerts.,Mack McKay is a British singer. He lives in London.,Mack McKay*is*a British*singer.*He*lives*in London.,"He*played*numerous*concerts,*according to*his memoir.","Mick Jagger*played*numerous*concerts,*according to*his memoir.",His early stage performances were legendary.,4,He,played,numerous,concerts,in his lifetime,according to,his memoir,0,numerous concerts in his lifetime.,He played numerous concerts in his lifetime.,Mick Jagger,11,male,alive,dead,critical,PS,livingPS,4,yes,play,122024,crit,crit
21,23,Janis Joplin,Jackie Lang,She*has played*in numerous*packed arenas.,Jackie Lang was an American singer. She died in Los Angeles.,Jackie Lang*was*an American*singer.*She*died*in Los Angeles.,"She*has played*in numerous*packed arenas,*as stated in*her biography.","Janis Joplin*has played*in numerous*packed arenas,*as stated in*her biography.",,4,She,has played,in numerous,packed arenas,in her career,as stated in,her biography,0,in numerous packed arenas in her career.,She has played in numerous packed arenas in her career.,Janis Joplin,12,female,dead,alive,critical,PP,deadPP,2,no,play,123114,crit,crit
22,23,Janis Joplin,Jackie Lang,She*played*in numerous*packed arenas.,Jackie Lang was an American singer. She died in Los Angeles.,Jackie Lang*was*an American*singer.*She*died*in Los Angeles.,"She*played*in numerous*packed arenas,*as stated in*her biography.","Janis Joplin*played*in numerous*packed arenas,*as stated in*her biography.",,4,She,played,in numerous,packed arenas,in her career,as stated in,her biography,0,in numerous packed arenas in her career.,She played in numerous packed arenas in her career.,Janis Joplin,12,female,dead,alive,critical,PS,deadPS,3,no,play,123123,crit,crit
23,23,Janet Jackson,Jackie Lang,She*played*in numerous*packed arenas.,Jackie Lang is an American singer. She lives in Los Angeles.,Jackie Lang*is*an American*singer.*She*lives*in Los Angeles.,"She*played*in numerous*packed arenas,*as stated in*her biography.","Janet Jackson*played*in numerous*packed arenas,*as stated in*her biography.",Her contributions to music earned her a,4,She,played,in numerous,packed arenas,in her career,as stated in,her biography,0,in numerous packed arenas in her career.,She played in numerous packed arenas in her career.,Janet Jackson,13,female,alive,dead,critical,PS,livingPS,1,yes,play,123021,crit,crit
24,23,Janet Jackson,Jackie Lang,She*has played*in numerous*packed arenas.,Jackie Lang is an American singer. She lives in Los Angeles.,Jackie Lang*is*an American*singer.*She*lives*in Los Angeles.,"She*has played*in numerous*packed arenas,*as stated in*her biography.","Janet Jackson*has played*in numerous*packed arenas,*as stated in*her biography.",,4,She,has played,in numerous,packed arenas,in her career,as stated in,her biography,0,in numerous packed arenas in her career.,She has played in numerous packed arenas in her career.,Janet Jackson,13,female,alive,dead,critical,PP,livingPP,4,yes,play,123012,crit,crit
25,28,Sir Christopher Lee,Orville Williams,He*has received*prestigious*acting awards.,Orville Williams was a British actor. He died in London.,Orville Williams*was*a British*actor.*He*died*in London.,"He*has received*prestigious*acting awards,*as reported by*his website.","Sir Christopher Lee*has received*prestigious*acting awards,*as reported by*his website.",His performances earned him a CBE. ,4,He,has received,prestigious,acting awards,through the years,as reported by,his website,0,prestigious acting awards through the years.,He has received prestigious acting awards through the years.,Sir Christopher Lee,19,male,dead,alive,critical,PP,deadPP,3,no,receive,128112,crit,crit
26,28,Sir Christopher Lee,Orville Williams,He*received*prestigious*acting awards.,Orville Williams was a British actor. He died in London.,Orville Williams*was*a British*actor.*He*died*in London.,"He*received*prestigious*acting awards,*as reported by*his website.","Sir Christopher Lee*received*prestigious*acting awards,*as reported by*his website.",His performances earned him a CBE. ,4,He,received,prestigious,acting awards,through the years,as reported by,his website,0,prestigious acting awards through the years.,He received prestigious acting awards through the years.,Sir Christopher Lee,19,male,dead,alive,critical,PS,deadPS,4,no,receive,128121,crit,crit
27,28,Benedict Cumberbatch,Orville Williams,He*has received*prestigious*acting awards.,Orville Williams is a British actor. He lives in London.,Orville Williams*is*a British*actor.*He*lives*in London.,"He*has received*prestigious*acting awards,*as reported by*his website.","Benedict Cumberbatch*has received*prestigious*acting awards,*as reported by*his website.",His performances earned him a CBE. ,4,He,has received,prestigious,acting awards,through the years,as reported by,his website,0,prestigious acting awards through the years.,He has received prestigious acting awards through the years.,Benedict Cumberbatch,20,male,alive,dead,critical,PP,livingPP,1,yes,receive,128014,crit,crit
28,28,Benedict Cumberbatch,Orville Williams,He*received*prestigious*acting awards.,Orville Williams is a British actor. He lives in London.,Orville Williams*is*a British*actor.*He*lives*in London.,"He*received*prestigious*acting awards,*as reported by*his website.","Benedict Cumberbatch*received*prestigious*acting awards,*as reported by*his website.",His performances earned him a CBE. ,4,He,received,prestigious,acting awards,through the years,as reported by,his website,0,prestigious acting awards through the years.,He received prestigious acting awards through the years.,Benedict Cumberbatch,20,male,alive,dead,critical,PS,livingPS,2,yes,receive,128023,crit,crit
29,31,Mother Teresa,Lynn Burnham,She*received*prestigious*activism awards.,Lynn Burnham was an Albanian-Indian missionary. She died in Kolkata.,Lynn Burnham*was*an Albanian-Indian*missionary.*She*died*in Kolkata.,"She*received*prestigious*activism awards,*so her*Wikipedia page states.","Mother Teresa*received*prestigious*activism awards,*so her*Wikipedia page states.",Her charitable work ,4,She,received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She received prestigious activism awards over time.,Mother Teresa,13,female,dead,alive,critical,PS,deadPS,1,no,receive,131123,crit,crit
30,31,Mother Teresa,Lynn Burnham,She*has received*prestigious*activism awards.,Lynn Burnham was an Albanian-Indian missionary. She died in Kolkata.,Lynn Burnham*was*an Albanian-Indian*missionary.*She*died*in Kolkata.,"She*has received*prestigious*activism awards,*so her*Wikipedia page states.","Mother Teresa*has received*prestigious*activism awards,*so her*Wikipedia page states.",,4,She,has received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She has received prestigious activism awards over time.,Mother Teresa,13,female,dead,alive,critical,PP,deadPP,4,no,receive,131114,crit,crit
31,31,Malala,Lynn Burnham,She*has received*prestigious*activism awards.,Lynn Burnham is a Pakistani activist. She lives in Birmingham.,Lynn Burnham*is*a Pakistani*activist.*She*lives*in Birmingham.,"She*has received*prestigious*activism awards,*so her*Wikipedia page states.","Malala*has received*prestigious*activism awards,*so her*Wikipedia page states.",,4,She,has received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She has received prestigious activism awards over time.,Malala,6,female,alive,dead,critical,PP,livingPP,2,yes,receive,131012,crit,crit
32,31,Malala,Lynn Burnham,She*received*prestigious*activism awards.,Lynn Burnham is a Pakistani activist. She lives in Birmingham.,Lynn Burnham*is*a Pakistani*activist.*She*lives*in Birmingham.,"She*received*prestigious*activism awards,*so her*Wikipedia page states.","Malala*received*prestigious*activism awards,*so her*Wikipedia page states.",,4,She,received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She received prestigious activism awards over time.,Malala,6,female,alive,dead,critical,PS,livingPS,3,yes,receive,131021,crit,crit
33,35,Romy Schneider,Eve Quinn,She*has released*well-received*movies.,Eve Quinn was an Austrian actor. She died in Paris.,Eve Quinn*was*an Austrian*actor.*She*died*in Paris.,"She*has released*well-received*movies,*according to*her biographer.","Romy Schneider*has released*well-received*movies,*according to*her biographer.",,4,She,has released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She has released well-received movies in her lifetime.,Romy Schneider,14,female,dead,alive,critical,PP,deadPP,1,no,release,135114,crit,crit
34,35,Romy Schneider,Eve Quinn,She*released*well-received*movies.,Eve Quinn was an Austrian actor. She died in Paris.,Eve Quinn*was*an Austrian*actor.*She*died*in Paris.,"She*released*well-received*movies,*according to*her biographer.","Romy Schneider*released*well-received*movies,*according to*her biographer.",,4,She,released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She released well-received movies in her lifetime.,Romy Schneider,14,female,dead,alive,critical,PS,deadPS,2,no,release,135123,crit,crit
35,35,Meryl Streep,Eve Quinn,She*has released*well-received*movies.,Eve Quinn is an American actor. She lives in Connecticut.,Eve Quinn*is*an American*actor.*She*lives*in Connecticut.,"She*has released*well-received*movies,*according to*her biographer.","Meryl Streep*has released*well-received*movies,*according to*her biographer.",,4,She,has released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She has released well-received movies in her lifetime.,Meryl Streep,12,female,alive,dead,critical,PP,livingPP,3,yes,release,135012,crit,crit
